 case_id,province,city,group,infection_case,confirmed,latitude,longitude
1000001,Seoul,Yongsan-gu,TRUE,Itaewon Clubs,139,37.5386,126.9927
1000002,Seoul,Gwanak-gu,TRUE,Richway,119,37.4821,126.9014
1000003,Seoul,Guro-gu,TRUE,Guro-gu Call Center,95,37.5082,126.8844
1000004,Seoul,Yangcheon-gu,TRUE,Yangcheon Table Tennis Club,43,37.5461,126.8742
1000005,Seoul,Dobong-gu,TRUE,Day Care Center,43,37.6794,127.0444
1000006,Seoul,Guro-gu,TRUE,Manmin Central Church,41,37.4811,126.8943
1000007,Seoul,from other city,TRUE,SMR Newly Planted Churches Group,36,,
1000008,Seoul,Dongdaemun-gu,TRUE,Dongan Church,17,37.5929,127.0568
1000009,Seoul,from other city,TRUE,Coupang Logistics Center,25,,
1000010,Seoul,Gwanak-gu,TRUE,Wangsung Church,30,37.4817,126.9301
1000011,Seoul,Eunpyeong-gu,TRUE,Eunpyeong St. Mary's Hospital,14,37.6337,126.9165
1000012,Seoul,Seongdong-gu,TRUE,Seongdong-gu APT,13,37.5571,127.0403
1000013,Seoul,Jongno-gu,TRUE,Jongno Community Center,10,37.5768,127.006
1000014,Seoul,Gangnam-gu,TRUE,Samsung Medical Center,7,37.4883,127.0856
1000015,Seoul,Jung-gu,TRUE,Jung-gu Fashion Company,7,37.5624,126.9844
1000016,Seoul,Seodaemun-gu,TRUE,Yeonana News Class,5,37.5581,126.9438
1000017,Seoul,Jongno-gu,TRUE,Korea Campus Crusade of Christ,7,37.5948,126.968
1000018,Seoul,Gangnam-gu,TRUE,Gangnam Yeoksam-dong gathering,6,,
1000019,Seoul,from other city,TRUE,Daejeon door-to-door sales,1,,
1000020,Seoul,Geumcheon-gu,TRUE,Geumcheon-gu rice milling machine manufacture,6,,
1000021,Seoul,from other city,TRUE,Shincheonji Church,8,,
1000022,Seoul,from other city,TRUE,Guri Collective Infection,5,,
1000023,Seoul,Jung-gu,TRUE,KB Life Insurance,13,37.5609,126.967
1000024,Seoul,Yeongdeungpo-gu,TRUE,Yeongdeungpo Learning Institute,3,37.5208,126.9313
1000025,Seoul,Gangnam-gu,TRUE,Gangnam Dongin Church,1,37.5223,127.0574
1000026,Seoul,Yangcheon-gu,TRUE,Biblical Language study meeting,3,37.5246,126.8431
1000027,Seoul,Seocho-gu,TRUE,Seocho Family,5,,
1000028,Seoul,from other city,TRUE,Anyang Gunpo Pastors Group,1,,
1000029,Seoul,Gangnam-gu,TRUE,Samsung Fire & Marine Insurance,4,37.4983,127.0301
1000030,Seoul,Gangseo-gu,TRUE,SJ Investment Call Center,0,37.5596,126.8351
1000031,Seoul,from other city,TRUE,Yongin Brothers,4,,
1000032,Seoul,Jung-gu,TRUE,Seoul City Hall Station safety worker,3,37.5657,126.9771
1000033,Seoul,from other city,TRUE,Uiwang Logistics Center,2,,
1000034,Seoul,-,TRUE,Orange Life,1,,
1000035,Seoul,Guro-gu,TRUE,Daezayeon Korea,3,37.4868,126.8932
1000036,Seoul,-,FALSE,overseas inflow,298,,
1000037,Seoul,-,FALSE,contact with patient,162,,
1000038,Seoul,-,FALSE,etc,100,,
1100001,Busan,Dongnae-gu,TRUE,Onchun Church,39,35.2163,129.0771
1100002,Busan,from other city,TRUE,Shincheonji Church,12,,
1100003,Busan,Suyeong-gu,TRUE,Suyeong-gu Kindergarten,5,35.1671,129.1124
